customer_id,phone_number,phone_type
861eff4711a542e4b93843c6dd7febb0,+5511945332479,Mobile
290c77bc529b7ac935b93aa66c333dc3,+5511920832298,Mobile
060e732b5b29e8181a18229c7b0b2b5e,+5511944884561,Mobile
259dac757896d24d7702b9acbbff3f3c,+5511964322572,Mobile
345ecd01c38d18a9036ed96c73b8d066,+5511906508372,Mobile
4c93744516667ad3b8f1fb645a3116a4,+5548988970697,Mobile
addec96d2e059c80c30fe6871d30d177,+5511929490757,Mobile
57b2a98a409812fe9618067b6b8ebe4f,+5531953751470,Mobile
1175e95fb47ddff9de6b2b06188f7e0d,+5541993389908,Mobile
9afe194fb833f79e300e37e580171f22,+5531952697688,Mobile
2a7745e1ed516b289ed9b29c7d0539a5,+5531912632978,Mobile
2a46fb94aef5cbeeb850418118cee090,+5521933112207,Mobile
918dc87cd72cd9f6ed4bd442ed785235,+5511981763523,Mobile
295c05e81917928d76245e842748184d,+5511973464948,Mobile
3151a81801c8386361b62277d7fa5ecf,+5551925815779,Mobile
21f748a16f4e1688a9014eb3ee6fa325,+5511956364916,Mobile
5c2991dbd08bbf3cf410713c4de5a0b5,+5521925539371,Mobile
b6e99561fe6f34a55b0b7da92f8ed775,+5511984309963,Mobile
7f3a72e8f988c6e735ba118d54f47458,+5511960098106,Mobile
3e6fd6b2f0d499456a6a6820a40f2d79,+5591969393167,Mobile
e607ede0e63436308660236f5a52da5e,+5548939525649,Mobile
a96d5cfa0d3181817e2b946f921ea021,+5562988625507,Mobile
482441ea6a06b1f72fe9784756c0ea75,+5511996699512,Mobile
4390ddbb6276a66ff1736a6710205dca,+5541965399422,Mobile
a5844ba4bfc8d0cc61d13027c7e63bcc,+5511909123798,Mobile
5f102dd37243f152aec3607970aad100,+5511990342637,Mobile
9c0096673baf55453a50073f12d1a37f,+5562931767132,Mobile
2e6a42a9b5cbb0da62988694f18ee295,+5511981452721,Mobile
4d221875624017bc47b4d1ce7314a5b7,+5527995804643,Mobile
a8654e2af5da6bb72f52c22b164855e1,+5511918608893,Mobile
424aca6872c5bab80780a8dec03b7516,+5511991416405,Mobile
bf4862777db128507e9efcc789215e9b,+5511904753053,Mobile
e9dd12dca17352644a959d9dea133935,+5571907540241,Mobile
e079b18794454de9d2be5c12b4392294,+5521909993247,Mobile
ef07ba9aa5226f77264ffa5762b2280b,+5541909396763,Mobile
85d234692f7bee8d6fea586e237334b6,+5511908439318,Mobile
fe3634ccefbcdb0537b45fd589e32e8e,+5511994914255,Mobile
40febde16f4718a5def537786473b0be,+5551980804109,Mobile
