customer_id,address_type,street,city,state,pincode,is_default
861eff4711a542e4b93843c6dd7febb0,Shipping,"Synthetic Street 861EFF, Suite 795",Franca,SP,14409-000,1
290c77bc529b7ac935b93aa66c333dc3,Shipping,"Synthetic Street 290C77, Suite 650",Sao Bernardo Do Campo,SP,09790-000,1
060e732b5b29e8181a18229c7b0b2b5e,Shipping,"Synthetic Street 060E73, Suite 392",Sao Paulo,SP,01151-000,1
259dac757896d24d7702b9acbbff3f3c,Shipping,"Synthetic Street 259DAC, Suite 277",Mogi Das Cruzes,SP,08775-000,1
345ecd01c38d18a9036ed96c73b8d066,Shipping,"Synthetic Street 345ECD, Suite 879",Campinas,SP,13056-000,1
4c93744516667ad3b8f1fb645a3116a4,Shipping,"Synthetic Street 4C9374, Suite 835",Jaragua Do Sul,SC,89253-000,1
addec96d2e059c80c30fe6871d30d177,Shipping,"Synthetic Street ADDEC9, Suite 243",Sao Paulo,SP,04534-000,1
57b2a98a409812fe9618067b6b8ebe4f,Shipping,"Synthetic Street 57B2A9, Suite 641",Timoteo,MG,35182-000,1
1175e95fb47ddff9de6b2b06188f7e0d,Shipping,"Synthetic Street 1175E9, Suite 781",Curitiba,PR,81560-000,1
9afe194fb833f79e300e37e580171f22,Shipping,"Synthetic Street 9AFE19, Suite 959",Belo Horizonte,MG,30575-000,1
2a7745e1ed516b289ed9b29c7d0539a5,Shipping,"Synthetic Street 2A7745, Suite 184",Montes Claros,MG,39400-000,1
2a46fb94aef5cbeeb850418118cee090,Shipping,"Synthetic Street 2A46FB, Suite 181",Rio De Janeiro,RJ,20231-000,1
918dc87cd72cd9f6ed4bd442ed785235,Shipping,"Synthetic Street 918DC8, Suite 717",Lencois Paulista,SP,18682-000,1
295c05e81917928d76245e842748184d,Shipping,"Synthetic Street 295C05, Suite 231",Sao Paulo,SP,05704-000,1
3151a81801c8386361b62277d7fa5ecf,Shipping,"Synthetic Street 3151A8, Suite 718",Caxias Do Sul,RS,95110-000,1
21f748a16f4e1688a9014eb3ee6fa325,Shipping,"Synthetic Street 21F748, Suite 346",Piracicaba,SP,13412-000,1
